user_id,email,first_name,last_name,password,accredited
89700,df,df,df,df,False
15646,g.south@me.com,Grant,South,abcd,True
82471,new@user.com,Fred,James,popo,False
84384,let@new.com,Hom,End,gh,False
73772,5,5,5,5,False
36573,g.,,f,f,False
64861,[Ag.south@me.com,df,df,qw,False
14732,[A,d,d,d,False
29926,g@re.com,New,Name,qwer,False
66750,g.sout@meme.com,Bob,Grant,qwerty,False
58108,new@to.com,NewNew,GuyGuy,qwerty,False
23588,qw@qw.com,qwqw,asas,qwerty,False
43256,kl@kl.com,kl,kl,klkl,True
